Reporter Identifier	VALUE
ILMN_1775634	6.677
ILMN_1802458	10.44
ILMN_2307656	10.79
ILMN_1700183	6.263
ILMN_1709796	6.486
ILMN_1783963	6.384
ILMN_2134801	6.609
ILMN_1757807	6.701
ILMN_1673529	8.319
ILMN_1686370	7.181
ILMN_1809139	10.06
ILMN_1747504	8.783
ILMN_1666679	6.594
ILMN_1657862	13.13
ILMN_1770412	11.81
ILMN_1712786	8.081
ILMN_1680111	6.692
ILMN_1791006	7.63
ILMN_1714567	9.576
ILMN_1792495	6.477
ILMN_1752159	6.71
ILMN_1812640	12.6
ILMN_2162799	6.676
ILMN_1782679	6.555
ILMN_1703617	11.06
ILMN_1798308	8.485
ILMN_1730625	6.661
ILMN_2164164	6.401
ILMN_1703538	6.48
ILMN_1792473	6.661
ILMN_1771827	6.419
ILMN_2313821	11.71
ILMN_1717357	9.598
ILMN_1668408	9.514
ILMN_1667183	6.412
ILMN_1712639	6.548
ILMN_1704173	6.829
ILMN_1797974	9.636
ILMN_1688625	6.977
ILMN_1776916	6.492
ILMN_2113340	6.489
ILMN_1669557	6.54
ILMN_2214232	6.57
ILMN_1681301	6.318
ILMN_2103841	9.603
ILMN_2368268	6.651
ILMN_2415292	6.371
ILMN_1670282	6.445
ILMN_2261519	13.57
ILMN_1791236	6.474
ILMN_1723521	6.264
ILMN_2242299	6.541
ILMN_2312764	6.742
ILMN_1779965	9.542
ILMN_1670542	11.17
ILMN_1655645	7.902
ILMN_1716053	12.05
ILMN_1778173	11.51
ILMN_2338038	11.47
ILMN_1686522	6.515
ILMN_1764090	10.56
ILMN_1798249	9.939
ILMN_1656593	6.418
ILMN_2283473	6.397
ILMN_2387712	6.28
ILMN_1684305	6.534
ILMN_1712530	8.706
ILMN_1662598	6.563
ILMN_1718808	7.645
ILMN_1783818	6.168
ILMN_2293758	10.1
ILMN_1735539	6.894
ILMN_2280189	6.858
ILMN_1693220	9.195
ILMN_1684836	6.387
ILMN_1715532	6.422
ILMN_1686846	6.622
ILMN_2308950	7.102
ILMN_1709101	7.123
ILMN_1752247	6.922
ILMN_2396956	8.919
ILMN_1679987	6.087
ILMN_1673542	6.499
ILMN_1802537	6.403
ILMN_1675507	6.585
ILMN_1691959	6.801
ILMN_1737754	6.368
ILMN_1808905	7.246
ILMN_2268556	6.426
ILMN_2253207	6.595
ILMN_1734794	6.567
ILMN_1690818	6.364
ILMN_1770758	6.314
ILMN_2293529	6.346
ILMN_1703049	6.748
ILMN_1733690	8.059
ILMN_2410406	6.691
ILMN_1741572	8.904
ILMN_1768962	8.623
ILMN_2400663	7.057
ILMN_2396691	6.742
ILMN_1770673	6.989
ILMN_1728047	13.04
ILMN_1774938	7.879
ILMN_2380771	13.54
ILMN_1701731	6.596
ILMN_1672148	6.207
ILMN_1662507	6.401
ILMN_1668617	6.516
ILMN_1719154	6.463
ILMN_1773417	6.449
ILMN_2412336	6.902
ILMN_1730191	6.277
ILMN_1713124	7.594
ILMN_1668880	6.607
ILMN_1687757	6.796
ILMN_1685803	6.571
ILMN_1694985	6.198
ILMN_1692661	6.389
ILMN_2157277	14.16
ILMN_1677043	11.54
ILMN_2145396	9.176
ILMN_1718483	6.356
ILMN_2388507	12.46
ILMN_2410909	12.07
ILMN_1748661	6.699
ILMN_1726906	7.622
ILMN_1743347	7.1
ILMN_1733598	6.565
ILMN_1757130	6.692
ILMN_2325612	6.279
ILMN_2325610	6.385
ILMN_2377240	11.64
ILMN_1665982	9.602
ILMN_2404657	6.841
ILMN_1747577	8.418
ILMN_1679898	6.319
ILMN_1700047	7.264
ILMN_2385647	7.394
ILMN_1728309	6.651
ILMN_1708323	6.46
ILMN_2367126	6.474
ILMN_2271875	6.489
ILMN_1782939	6.775
ILMN_1682763	6.771
ILMN_1670870	11.39
ILMN_2051381	7.731
ILMN_2302716	10.84
ILMN_2096372	6.179
ILMN_1709348	6.407
ILMN_1748538	6.524
ILMN_2383707	8.095
ILMN_1807439	10.32
ILMN_2139970	10.14
ILMN_2150894	10.27
ILMN_1675398	8.567
ILMN_1802167	6.423
ILMN_1736539	6.632
ILMN_2182980	6.378
ILMN_1793859	9.319
ILMN_1702503	6.716
ILMN_1667564	8.653
ILMN_1794825	11.05
ILMN_2401641	9.725
ILMN_1727965	6.301
ILMN_1728662	6.65
ILMN_2363880	8.154
ILMN_1761514	6.885
ILMN_1763666	10.11
ILMN_2244841	7.445
ILMN_1656368	9.817
ILMN_1696099	8.373
ILMN_2406557	8.066
ILMN_2372403	8.42
ILMN_2372398	7.953
ILMN_1785284	11.8
ILMN_2096985	10.96
ILMN_1687508	6.538
ILMN_1763461	6.481
ILMN_2365176	6.521
ILMN_1681938	6.301
ILMN_1699258	6.429
